url	description
https://404.feed.press/private?key=8b6d0756127d1020971e9bd41da5e773	404 Media
https://feeds.arstechnica.com/arstechnica/index/	Ars Technica
https://www.bleepingcomputer.com/feed/	BleepingComputer
https://www.cisoforum.com/blog/feed/	Blog CISO Forum
https://research.checkpoint.com/feed/	Check Point Research
https://cisoseries.libsyn.com/rss	Cyber Security Headlines
https://cyberscoop.com/feed/	CyberScoop
https://cybersecurityventures.com/feed/	Cybersecurity Ventures
https://www.darkreading.com/rss.xml	Dark Reading:
https://www.esecurityplanet.com/feed/	eSecurityPlanet
https://hackread.com/feed/	HackRead
https://heimdalsecurity.com/blog/feed/	Heimdal Security
https://www.infosecurity-magazine.com/rss/news/	Infosecurity Magazine
https://inteltechniques.com/blog/feed/	IntelTechniques Blog
https://krebsonsecurity.com/feed/	Krebs on Security
https://latesthackingnews.com/feed/	Latest Hacking News
https://www.microsoft.com/en-us/security/blog/feed/	Microsoft Security Blog
https://portswigger.net/daily-swig/rss	PortSwigger Daily Swig
https://isc.sans.edu/rssfeed.xml	SANS Internet Storm Center
https://www.scworld.com/feed/topic/latest	SC Magazine
https://www.schneier.com/feed/	Schneier on Security
https://securityaffairs.com/wordpress/feed	Security Affairs
https://securityintelligence.com/feed/	Security Intelligence
http://www.techrepublic.com/rssfeeds/topic/security/?feedType=rssfeeds	Security on TechRepublic
https://feeds.feedburner.com/securityweek	SecurityWeek
http://feeds.feedburner.com/Securityweek	SecurityWeek RSS Feed
https://news.sophos.com/en-us/feed/	Sophos News
https://www.nist.gov/blogs/taking-measure/rss.xml	Taking Measure
https://thecyberwire.com/feeds/rss.xml	The CyberWire
https://feeds.feedburner.com/TheHackersNews	The Hacker News
https://threatpost.com/feed/	Threatpost
https://www.tripwire.com/blogs.xml	Tripwire State of Security
https://unit42.paloaltonetworks.com/feed/	Unit 42
https://www.wired.com/feed/category/security/latest/rss	Wired Security
https://www.zdnet.com/topic/security/rss.xml	ZDNet Security